"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that a switch can be toggled ON and OFF and that the displayed status text updates accordingly.","4902","Should toggle switch ON and OFF","","Wed Sep 10 14:28:04 UTC 2025","passed","Wed Sep 10 14:28:09 UTC 2025","","Verify forms","",""
"This test verifies that clicking the active button displays the correct message and allows confirmation of the popup.","4259","Verify active button","","Wed Sep 10 14:28:09 UTC 2025","passed","Wed Sep 10 14:28:13 UTC 2025","","Verify forms","",""
"This test verifies that a switch can be toggled ON and OFF and that the displayed status text updates accordingly.","6878","Should toggle switch ON and OFF","","Wed Sep 10 14:28:43 UTC 2025","passed","Wed Sep 10 14:28:50 UTC 2025","","Verify forms","",""
"Verify that each card in the swipe menu displays the correct title when navigating via dots.","25193","Verify swipe menu","","Wed Sep 10 14:28:32 UTC 2025","passed","Wed Sep 10 14:28:57 UTC 2025","","Verify Swipe page","",""
"Verify that login fails with invalid email and password and shows proper validation messages.","13489","login with invalid required fields","","Wed Sep 10 14:28:35 UTC 2025","passed","Wed Sep 10 14:28:48 UTC 2025","","Login page","",""
"This test verifies that a user can enter text into an input field and that the field displays the correct text.","7648","Verify input field","","Wed Sep 10 14:28:35 UTC 2025","passed","Wed Sep 10 14:28:43 UTC 2025","","Verify forms","",""
"This test verifies that a user can enter text into an input field and that the field displays the correct text.","6119","Verify input field","","Wed Sep 10 14:27:58 UTC 2025","passed","Wed Sep 10 14:28:04 UTC 2025","","Verify forms","",""
"Verify that each card in the swipe menu displays the correct title when navigating via dots.","17995","Verify swipe menu","","Wed Sep 10 14:27:53 UTC 2025","passed","Wed Sep 10 14:28:11 UTC 2025","","Verify Swipe page","",""
"This test verifies that clicking the active button displays the correct message and allows confirmation of the popup.","6500","Verify active button","","Wed Sep 10 14:28:50 UTC 2025","passed","Wed Sep 10 14:28:57 UTC 2025","","Verify forms","",""
"Verify that login fails with invalid email and password and shows proper validation messages.","9924","login with invalid required fields","","Wed Sep 10 14:27:58 UTC 2025","passed","Wed Sep 10 14:28:08 UTC 2025","","Login page","",""
